radiator,Global Auto Components,V3.5,Pilot,2010,59.48,44
spark plug,Precision Motors,V5.3,CR-V,2001,86.51,30
brake pad,Speedy Parts,V2.1,ES,2012,127.12,36
brake pad,Precision Motors,V1.0,Voyager,2003,140.54,22
fuel pump,Global Auto Components,V1.0,Cabriolet,2002,44.07,74
spark plug,AutoTech Industries,V4.2,CL-Class,2007,106.49,54
tire,ACME Parts,V5.3,Town & Country,1997,107.0,51
air filter,AutoTech Industries,V5.3,V8 Vantage,2007,45.83,35
radiator,ACME Parts,V4.2,A6,2004,22.22,1
headlight,ACME Parts,V3.5,F250,2010,101.56,56
spark plug,Precision Motors,V5.3,Diablo,1998,56.92,42
air filter,Global Auto Components,V2.1,Camry,2004,112.76,72
headlight,AutoTech Industries,V1.0,928,1985,38.0,4
spark plug,Speedy Parts,V5.3,Bonneville,2000,44.13,31
brake pad,Speedy Parts,V4.2,MKZ,2012,106.6,19
air filter,Global Auto Components,V2.1,G3,2010,29.36,61
air filter,Speedy Parts,V4.2,F250,2011,123.09,2
fuel pump,Global Auto Components,V3.5,2500,1997,130.97,42
brake pad,ACME Parts,V5.3,Pathfinder Armada,2004,30.37,26
air filter,ACME Parts,V4.2,Ridgeline,2010,66.77,63
spark plug,AutoTech Industries,V1.0,Gemini,1989,132.24,62
fuel pump,AutoTech Industries,V4.2,Sebring,2006,23.85,21
air filter,Precision Motors,V4.2,Avalanche,2010,11.72,59
headlight,Speedy Parts,V4.2,Ranger,2004,148.29,45
brake pad,Precision Motors,V3.5,M3,1999,17.19,40
spark plug,Global Auto Components,V4.2,Diablo,1993,141.56,24
radiator,Precision Motors,V2.1,A6,2005,46.62,41
air filter,Precision Motors,V3.5,Impreza,2001,13.11,49
headlight,ACME Parts,V1.0,Continental,1987,93.31,2
headlight,AutoTech Industries,V1.0,Savana 2500,2007,33.91,44
air filter,Speedy Parts,V2.1,Miata MX-5,2007,70.26,41
radiator,Speedy Parts,V1.0,911,2000,6.67,34
spark plug,Precision Motors,V2.1,Corvette,1968,40.12,64
fuel pump,Speedy Parts,V5.3,Silverado 1500,2003,100.59,17
headlight,Global Auto Components,V5.3,Sonoma Club Coupe,1998,73.68,57
tire,ACME Parts,V2.1,Esprit Turbo,1984,98.41,11
tire,Precision Motors,V5.3,F-Series Super Duty,2011,13.46,18
tire,AutoTech Industries,V3.5,LS,1998,12.56,55
radiator,ACME Parts,V4.2,Stealth,1996,44.2,20
headlight,Speedy Parts,V5.3,MX-5,1994,38.38,73
engine,ACME Parts,V1.0,Intrepid,1996,95.68,62
air filter,Precision Motors,V3.5,Diamante,1998,145.9,15
spark plug,ACME Parts,V4.2,MR2,1987,38.69,15
fuel pump,Speedy Parts,V3.5,Continental,2009,98.02,21
engine,Precision Motors,V3.5,Cherokee,1993,112.36,23
fuel pump,ACME Parts,V2.1,Mirage,1994,68.01,13
brake pad,Speedy Parts,V1.0,Sentra,2005,105.25,26
brake pad,Speedy Parts,V1.0,62,2005,117.93,42
air filter,Precision Motors,V1.0,Mark VIII,1998,125.83,40
engine,ACME Parts,V5.3,F-Series,1990,80.64,20
headlight,AutoTech Industries,V5.3,Aveo,2007,63.78,29
tire,Global Auto Components,V5.3,Mighty Max,1986,46.9,54
radiator,Precision Motors,V4.2,i-MiEV,2012,74.88,35
fuel pump,ACME Parts,V2.1,MKX,2010,88.95,50
brake pad,ACME Parts,V2.1,Safari,1988,64.19,11
brake pad,Precision Motors,V3.5,600SEC,1993,64.49,40
brake pad,Precision Motors,V5.3,Trooper,1993,33.36,58
engine,Speedy Parts,V1.0,Caravan,2011,107.02,59
air filter,Global Auto Components,V2.1,Shadow,1992,126.87,18
spark plug,Precision Motors,V5.3,Escalade,2006,100.68,7
spark plug,ACME Parts,V5.3,Grand Caravan,2010,14.08,36
headlight,ACME Parts,V2.1,Neon,1999,116.87,29
engine,ACME Parts,V2.1,3500 Club Coupe,1994,11.68,71
spark plug,ACME Parts,V1.0,Insight,2004,138.35,3
brake pad,ACME Parts,V2.1,Acadia,2009,52.26,75
tire,Precision Motors,V3.5,SC,2002,147.67,31
engine,AutoTech Industries,V2.1,M3,2002,115.47,3
radiator,Global Auto Components,V2.1,Elise,2010,64.77,51
engine,AutoTech Industries,V3.5,Bronco,1984,144.8,61
headlight,Speedy Parts,V2.1,Escort,2004,101.63,52
air filter,Global Auto Components,V5.3,Bronco,1992,144.04,71
air filter,ACME Parts,V2.1,626,1988,132.58,68
brake pad,AutoTech Industries,V2.1,Mazda3,2007,108.3,18
engine,Speedy Parts,V2.1,Regal,1999,54.17,48
fuel pump,Global Auto Components,V5.3,Concorde,1997,70.4,16
